"tucaseid","age","sex","edu","race","hispanic","metro","social_time","num_children","weekly_earn","diary_date","famincome","hh_size"
20140101140967,66,"F","5. bachelor's degree","White only","No","Yes",315,0,NA,20140127,"8. $25,000 to $29,999",1
20140101140973,62,"M","3. some college","Other","No","Yes",345,0,560,20140126,"1. < $5,000",4
20140101140990,61,"M","5. bachelor's degree","White only","No","Yes",587,0,NA,20140126,"11. $40,000 to $49,999",2
20140101140995,47,"M","5. bachelor's degree","Asian only","No","Yes",495,0,1538.46,20140126,"15. $100,000 to $149,999",2
20140101141014,16,"F","1. < high school diploma","White only","No","Yes",372,2,NA,20140129,"15. $100,000 to $149,999",5
20140101141056,74,"F","2. high school diploma","Black only","No","Yes",730,0,NA,20140129,"4. $10,000 to $12,499",1
20140101141081,70,"M","5. bachelor's degree","White only","No","Yes",320,0,NA,20140126,"4. $10,000 to $12,499",1
20140101141134,64,"M","6. master's degree","Asian only","No","Yes",100,0,NA,20140128,"16. >= $150,000",2
20140101141177,69,"M","8. doctoral degree","White only","Yes","No",248,0,1038.46,20140130,"14. $75,000 to $99,999",1
20140101141179,56,"F","5. bachelor's degree","White only","No","No",660,0,NA,20140131,"4. $10,000 to $12,499",2
20140101141180,28,"F","6. master's degree","Other","No","Yes",120,0,884.61,20140130,"11. $40,000 to $49,999",1
20140101141214,55,"F","5. bachelor's degree","White only","No","Yes",235,0,415,20140130,"1. < $5,000",1
20140101141232,66,"F","2. high school diploma","White only","No","No",741,0,576.92,20140126,"8. $25,000 to $29,999",1
20140101141282,72,"F","2. high school diploma","White only","No","No",840,0,NA,20140126,"4. $10,000 to $12,499",1
20140101141288,54,"M","3. some college","White only","Yes","Yes",30,0,350,20140128,"12. $50,000 to $59,999",1
20140101141321,66,"M","2. high school diploma","White only","No","No",210,0,NA,20140126,"12. $50,000 to $59,999",2
20140101141331,80,"M","2. high school diploma","White only","No","Yes",350,0,NA,20140131,"13. $60,000 to $74,999",1
20140101141365,66,"M","5. bachelor's degree","Black only","No","Yes",630,0,NA,20140126,"12. $50,000 to $59,999",2
20140101141379,36,"M","3. some college","White only","No","Yes",435,3,928.84,20140126,"11. $40,000 to $49,999",4
20140101141381,47,"F","5. bachelor's degree","White only","No","Yes",520,1,400,20140128,"16. >= $150,000",3
20140101141386,63,"F","5. bachelor's degree","White only","No","Yes",140,0,1826,20140131,"12. $50,000 to $59,999",1
20140101141409,18,"F","1. < high school diploma","Other","No","Yes",369,1,200,20140126,"13. $60,000 to $74,999",4
20140101141418,61,"F","5. bachelor's degree","White only","No","Yes",365,0,NA,20140131,"16. >= $150,000",2
20140101141430,79,"M","4. associate degree","Black only","No","Yes",60,0,NA,20140128,"8. $25,000 to $29,999",2
20140101141449,19,"F","3. some college","White only","No","Yes",130,0,231.25,20140126,"16. >= $150,000",5
20140101141488,38,"F","5. bachelor's degree","White only","No","Yes",0,0,NA,20140126,"16. >= $150,000",1
20140101141502,75,"M","2. high school diploma","White only","No","Yes",470,0,288,20140131,"9. $30,000 to $34,999",2
20140101141515,54,"F","6. master's degree","White only","No","Yes",120,0,846,20140126,"12. $50,000 to $59,999",1
20140101141556,49,"M","2. high school diploma","Black only","No","Yes",575,0,1000,20140130,"12. $50,000 to $59,999",1
20140101141584,51,"F","5. bachelor's degree","White only","No","Yes",240,2,NA,20140129,"16. >= $150,000",4
20140101141589,80,"F","2. high school diploma","White only","No","No",393,0,NA,20140129,"12. $50,000 to $59,999",2
20140101141629,52,"F","3. some college","White only","No","Yes",705,0,NA,20140127,"9. $30,000 to $34,999",2
20140101141646,33,"F","8. doctoral degree","White only","No","Yes",225,2,730.76,20140130,"14. $75,000 to $99,999",4
20140101141661,33,"M","4. associate degree","White only","Yes","Yes",135,0,380,20140128,"10. $35,000 to $39,999",2
20140101141672,24,"F","4. associate degree","White only","No","No",814,0,300,20140130,"6. $15,000 to $19,999",2
20140101141687,48,"M","3. some college","White only","No","Yes",223,0,1826.92,20140128,"15. $100,000 to $149,999",2
20140101141690,16,"M","1. < high school diploma","Asian only","No","Yes",750,2,NA,20140126,"12. $50,000 to $59,999",8
20140101141724,60,"F","4. associate degree","White only","No","No",580,0,484.4,20140126,"6. $15,000 to $19,999",1
20140101141777,72,"F","6. master's degree","Black only","No","No",430,0,NA,20140131,"14. $75,000 to $99,999",2
20140101141795,49,"F","5. bachelor's degree","White only","No","Yes",65,1,1750,20140129,"14. $75,000 to $99,999",2
20140101141796,38,"M","5. bachelor's degree","White only","No","Yes",170,1,962,20140126,"15. $100,000 to $149,999",3
20140101141817,69,"M","4. associate degree","White only","No","Yes",800,0,NA,20140126,"10. $35,000 to $39,999",2
20140101141837,26,"M","4. associate degree","Asian only","No","Yes",120,0,NA,20140126,"3. $7,500 to $9,999",2
20140101141841,70,"F","6. master's degree","White only","No","Yes",429,0,NA,20140126,"15. $100,000 to $149,999",1
20140101141860,41,"M","2. high school diploma","White only","No","Yes",90,1,825,20140126,"11. $40,000 to $49,999",3
20140101141863,44,"F","4. associate degree","Black only","No","Yes",0,2,NA,20140129,"1. < $5,000",3
20140101141897,63,"F","4. associate degree","White only","No","Yes",330,0,NA,20140129,"13. $60,000 to $74,999",2
20140101141928,47,"M","3. some college","White only","No","Yes",425,1,621.23,20140128,"11. $40,000 to $49,999",3
20140101142008,71,"F","2. high school diploma","White only","No","Yes",440,0,NA,20140129,"8. $25,000 to $29,999",1
20140101142020,32,"F","7. professional degree","White only","No","Yes",145,1,1346.15,20140130,"14. $75,000 to $99,999",2
20140101142022,51,"F","5. bachelor's degree","White only","No","Yes",565,1,1923.07,20140126,"13. $60,000 to $74,999",3
20140101142036,18,"F","3. some college","White only","Yes","Yes",105,1,NA,20140130,"15. $100,000 to $149,999",5
20140101142043,41,"F","2. high school diploma","White only","Yes","Yes",70,0,300,20140131,"9. $30,000 to $34,999",2
20140101142048,40,"F","6. master's degree","White only","No","Yes",100,2,NA,20140130,"14. $75,000 to $99,999",4
20140101142071,20,"F","2. high school diploma","Black only","No","Yes",315,0,NA,20140126,"11. $40,000 to $49,999",2
20140101142108,78,"F","2. high school diploma","White only","Yes","Yes",590,0,NA,20140131,"7. $20,000 to $24,999",1
20140101142132,40,"F","6. master's degree","White only","No","Yes",0,2,2884.61,20140130,"13. $60,000 to $74,999",4
20140101142146,46,"F","2. high school diploma","White only","Yes","Yes",30,0,NA,20140131,"13. $60,000 to $74,999",2
20140101142155,62,"M","3. some college","White only","Yes","No",240,0,NA,20140127,"5. $12,500 to $14,999",2
20140101142168,53,"M","3. some college","White only","No","Yes",150,0,1500,20140129,"13. $60,000 to $74,999",1
20140101142188,79,"M","3. some college","White only","No","Yes",445,0,NA,20140127,"12. $50,000 to $59,999",2
20140101142193,67,"M","7. professional degree","White only","No","Yes",455,0,1538.46,20140128,"15. $100,000 to $149,999",2
20140101142205,62,"F","2. high school diploma","White only","No","Yes",310,0,NA,20140127,"9. $30,000 to $34,999",2
20140101142228,50,"F","3. some college","White only","No","Yes",60,1,NA,20140126,"14. $75,000 to $99,999",5
20140101142230,47,"F","5. bachelor's degree","White only","No","Yes",733,1,NA,20140128,"8. $25,000 to $29,999",2
20140101142236,18,"F","2. high school diploma","White only","No","No",400,1,NA,20140131,"9. $30,000 to $34,999",4
20140101142253,48,"F","4. associate degree","White only","No","Yes",220,0,NA,20140130,"16. >= $150,000",3
20140101142257,85,"F","1. < high school diploma","Black only","No","Yes",145,0,NA,20140126,"5. $12,500 to $14,999",1
20140101142265,36,"F","2. high school diploma","White only","No","Yes",480,3,NA,20140127,"10. $35,000 to $39,999",5
20140101142278,64,"M","2. high school diploma","Black only","No","Yes",700,0,NA,20140127,"4. $10,000 to $12,499",2
20140101142301,42,"M","2. high school diploma","Black only","No","Yes",374,0,734,20140130,"12. $50,000 to $59,999",6
20140101142319,65,"F","5. bachelor's degree","White only","No","Yes",225,0,NA,20140130,"10. $35,000 to $39,999",1
20140101142325,80,"F","1. < high school diploma","White only","No","Yes",300,0,NA,20140130,"10. $35,000 to $39,999",1
20140101142328,56,"F","4. associate degree","Black only","No","Yes",105,0,1440,20140126,"14. $75,000 to $99,999",3
20140101142357,34,"M","5. bachelor's degree","White only","No","Yes",182,3,326.92,20140127,"12. $50,000 to $59,999",5
20140101142363,57,"F","3. some college","Asian only","No","Yes",0,0,961.53,20140126,"15. $100,000 to $149,999",1
20140101142378,34,"M","2. high school diploma","White only","No","Yes",206,2,1100,20140131,"12. $50,000 to $59,999",4
20140101142406,35,"F","6. master's degree","Black only","No","Yes",120,1,2365.38,20140127,"15. $100,000 to $149,999",3
20140101142433,52,"F","5. bachelor's degree","White only","Yes","Yes",350,0,NA,20140126,"13. $60,000 to $74,999",2
20140101142452,52,"F","3. some college","White only","Yes","Yes",570,0,1019.23,20140126,"12. $50,000 to $59,999",1
20140110130935,80,"F","1. < high school diploma","White only","Yes","Yes",690,0,NA,20140104,"3. $7,500 to $9,999",2
20140110131118,44,"F","1. < high school diploma","White only","Yes","Yes",305,2,480,20140104,"14. $75,000 to $99,999",4
20140110131176,51,"F","2. high school diploma","White only","No","Yes",310,1,525.7,20140101,"6. $15,000 to $19,999",3
20140110131331,39,"F","4. associate degree","White only","No","Yes",190,4,NA,20140103,"15. $100,000 to $149,999",7
20140110131395,61,"M","2. high school diploma","Black only","No","Yes",770,1,200,20140103,"5. $12,500 to $14,999",3
20140110131421,60,"M","3. some college","White only","No","Yes",486,0,NA,20140109,"9. $30,000 to $34,999",1
20140110131656,71,"M","2. high school diploma","White only","No","Yes",0,0,646.15,20140107,"11. $40,000 to $49,999",1
20140110131797,16,"F","1. < high school diploma","White only","No","No",10,1,NA,20140102,"9. $30,000 to $34,999",4
20140110131853,45,"M","1. < high school diploma","White only","Yes","Yes",480,3,540,20140111,"9. $30,000 to $34,999",5
20140110131940,36,"M","6. master's degree","White only","No","Yes",273,4,1211.53,20140102,"13. $60,000 to $74,999",5
20140110131947,37,"F","1. < high school diploma","White only","Yes","Yes",135,4,NA,20140104,"6. $15,000 to $19,999",1
20140110131979,62,"F","6. master's degree","Other","No","Yes",15,0,2692,20140106,"15. $100,000 to $149,999",2
20140110132111,54,"M","5. bachelor's degree","White only","No","Yes",596,2,2884.61,20140111,"16. >= $150,000",4
20140110132335,57,"F","5. bachelor's degree","Black only","No","No",303,0,826.92,20140111,"12. $50,000 to $59,999",1
20140111130038,44,"F","1. < high school diploma","Black only","No","Yes",355,0,NA,20140118,"12. $50,000 to $59,999",2
20140111130133,62,"F","2. high school diploma","White only","Yes","Yes",435,0,646.15,20140111,"9. $30,000 to $34,999",2
20140111130136,58,"M","2. high school diploma","White only","No","No",15,1,795.45,20140117,"9. $30,000 to $34,999",3
20140111130154,75,"F","2. high school diploma","White only","No","Yes",647,0,NA,20140102,"11. $40,000 to $49,999",2
20140111130502,36,"M","6. master's degree","Asian only","No","Yes",180,2,1500,20140114,"14. $75,000 to $99,999",3
20140111130503,46,"F","3. some college","White only","No","No",705,0,NA,20140111,"15. $100,000 to $149,999",2
20140111130505,35,"M","2. high school diploma","White only","Yes","No",160,2,384,20140114,"6. $15,000 to $19,999",4
20140111130508,31,"M","2. high school diploma","Black only","No","No",670,0,NA,20140124,"12. $50,000 to $59,999",3
20140111130521,25,"F","5. bachelor's degree","White only","Yes","No",286,1,663.46,20140104,"12. $50,000 to $59,999",3
20140111130541,50,"M","2. high school diploma","White only","Yes","Yes",110,0,NA,20140102,"4. $10,000 to $12,499",2
20140111130560,60,"M","2. high school diploma","White only","No","Yes",0,0,1480,20140102,"15. $100,000 to $149,999",7
20140111130562,62,"F","6. master's degree","White only","No","Yes",230,0,1211.53,20140111,"14. $75,000 to $99,999",2
20140111130568,37,"F","5. bachelor's degree","White only","No","No",360,2,769.23,20140112,"11. $40,000 to $49,999",4
20140111130584,29,"M","2. high school diploma","White only","No","No",815,2,NA,20140112,"13. $60,000 to $74,999",5
20140111130585,15,"M","1. < high school diploma","White only","No","Yes",320,2,NA,20140115,"4. $10,000 to $12,499",5
20140111130596,47,"F","6. master's degree","White only","No","Yes",90,3,1320,20140104,"14. $75,000 to $99,999",4
20140111130605,49,"F","5. bachelor's degree","White only","No","Yes",155,2,103.12,20140107,"14. $75,000 to $99,999",4
20140111130618,28,"M","6. master's degree","White only","No","Yes",120,1,426.92,20140107,"7. $20,000 to $24,999",3
20140111130624,50,"F","3. some college","White only","No","Yes",135,0,307.69,20140120,"7. $20,000 to $24,999",3
20140111130650,48,"M","3. some college","White only","No","Yes",215,1,NA,20140104,"12. $50,000 to $59,999",3
20140111130659,57,"M","1. < high school diploma","White only","No","Yes",980,0,NA,20140103,"3. $7,500 to $9,999",2
20140111130669,66,"M","2. high school diploma","Black only","No","No",735,0,NA,20140107,"8. $25,000 to $29,999",2
20140111130699,16,"F","1. < high school diploma","White only","Yes","Yes",427,3,NA,20140104,"4. $10,000 to $12,499",4
20140111130720,58,"M","3. some college","Black only","No","Yes",0,0,1663.46,20140108,"14. $75,000 to $99,999",2
20140111130721,34,"M","1. < high school diploma","White only","No","No",100,3,850,20140101,"8. $25,000 to $29,999",5
20140111130730,65,"M","4. associate degree","White only","No","No",544,0,NA,20140112,"11. $40,000 to $49,999",2
20140111130758,42,"M","2. high school diploma","White only","Yes","Yes",393,1,500,20140116,"11. $40,000 to $49,999",2
20140111130793,46,"F","5. bachelor's degree","White only","No","Yes",275,1,865.38,20140102,"15. $100,000 to $149,999",4
20140111130794,34,"F","2. high school diploma","White only","No","Yes",30,2,150,20140104,"11. $40,000 to $49,999",4
20140111130843,44,"M","5. bachelor's degree","White only","Yes","Yes",555,3,1730,20140112,"14. $75,000 to $99,999",5
20140111130847,61,"M","6. master's degree","White only","No","No",902,0,NA,20140104,"11. $40,000 to $49,999",2
20140111130850,67,"F","5. bachelor's degree","White only","No","Yes",290,0,NA,20140104,"11. $40,000 to $49,999",1
20140111130854,44,"F","6. master's degree","White only","No","Yes",135,3,2884.61,20140108,"15. $100,000 to $149,999",4
20140111130858,65,"F","3. some college","Black only","No","Yes",233,1,NA,20140104,"1. < $5,000",2
20140111130859,67,"F","3. some college","Black only","No","Yes",360,0,NA,20140104,"8. $25,000 to $29,999",3
20140111130862,26,"M","3. some college","Black only","No","Yes",460,0,NA,20140117,"7. $20,000 to $24,999",1
20140111130868,58,"M","4. associate degree","White only","No","Yes",570,1,475,20140119,"3. $7,500 to $9,999",4
20140111130902,50,"F","1. < high school diploma","Black only","No","Yes",30,0,480,20140108,"5. $12,500 to $14,999",1
20140111130921,28,"F","2. high school diploma","Black only","No","Yes",210,2,562.5,20140104,"8. $25,000 to $29,999",3
20140111130922,49,"F","2. high school diploma","Black only","No","Yes",0,0,500,20140124,"15. $100,000 to $149,999",3
20140111130927,73,"F","1. < high school diploma","White only","No","Yes",45,0,NA,20140123,"5. $12,500 to $14,999",1
20140111130929,73,"F","4. associate degree","White only","Yes","Yes",300,0,NA,20140118,"16. >= $150,000",2
20140111130952,54,"M","2. high school diploma","White only","No","Yes",450,1,NA,20140113,"9. $30,000 to $34,999",6
20140111130981,37,"F","4. associate degree","Asian only","No","Yes",242,1,576.92,20140112,"15. $100,000 to $149,999",3
20140111130984,16,"F","1. < high school diploma","White only","Yes","Yes",155,2,247.5,20140104,"7. $20,000 to $24,999",3
20140111130986,30,"M","5. bachelor's degree","White only","No","Yes",60,1,773,20140118,"14. $75,000 to $99,999",3
20140111130991,38,"F","6. master's degree","White only","No","Yes",120,0,1060,20140114,"16. >= $150,000",2
20140111130997,72,"F","2. high school diploma","White only","No","Yes",312,0,NA,20140111,"14. $75,000 to $99,999",2
20140111130998,17,"M","1. < high school diploma","White only","No","Yes",495,2,NA,20140107,"16. >= $150,000",6
20140111131007,85,"F","1. < high school diploma","White only","Yes","Yes",470,0,NA,20140126,"6. $15,000 to $19,999",2
20140111131015,18,"F","3. some college","White only","No","Yes",318,1,NA,20140102,"16. >= $150,000",5
20140111131019,57,"F","3. some college","White only","Yes","Yes",30,0,128,20140108,"12. $50,000 to $59,999",1
20140111131031,24,"M","2. high school diploma","White only","No","No",114,2,461.53,20140104,"7. $20,000 to $24,999",3
20140111131042,60,"M","6. master's degree","White only","Yes","Yes",755,0,1250,20140112,"13. $60,000 to $74,999",1
20140111131046,66,"F","4. associate degree","White only","Yes","Yes",0,0,507.69,20140122,"13. $60,000 to $74,999",2
20140111131054,28,"M","2. high school diploma","White only","No","No",205,0,709.15,20140106,"11. $40,000 to $49,999",2
20140111131069,33,"F","2. high school diploma","White only","No","Yes",209,3,NA,20140125,"16. >= $150,000",5
20140111131078,58,"F","2. high school diploma","Black only","No","Yes",562,0,424,20140120,"10. $35,000 to $39,999",2
20140111131092,30,"M","3. some college","White only","Yes","Yes",205,0,NA,20140107,"15. $100,000 to $149,999",4
20140111131098,52,"M","2. high school diploma","White only","No","No",331,0,NA,20140111,"8. $25,000 to $29,999",3
20140111131116,27,"M","5. bachelor's degree","White only","Yes","Yes",185,1,1000,20140116,"11. $40,000 to $49,999",3
20140111131120,25,"M","3. some college","White only","No","Yes",90,0,400,20140128,"8. $25,000 to $29,999",2
20140111131123,17,"F","1. < high school diploma","White only","No","Yes",180,1,49.5,20140101,"16. >= $150,000",5
20140111131131,68,"F","4. associate degree","White only","No","Yes",245,0,NA,20140104,"10. $35,000 to $39,999",1
20140111131140,78,"F","6. master's degree","Black only","No","Yes",720,0,NA,20140111,"12. $50,000 to $59,999",1
20140111131147,55,"F","2. high school diploma","White only","No","Yes",280,0,1057.69,20140118,"13. $60,000 to $74,999",2
20140111131166,22,"M","1. < high school diploma","White only","No","Yes",80,1,1000,20140112,"13. $60,000 to $74,999",4
20140111131167,77,"F","2. high school diploma","White only","No","Yes",310,0,NA,20140112,"9. $30,000 to $34,999",1
20140111131177,26,"M","1. < high school diploma","White only","Yes","No",205,3,400,20140104,"6. $15,000 to $19,999",5
20140111131184,69,"F","2. high school diploma","White only","No","Yes",881,0,NA,20140109,"6. $15,000 to $19,999",1
20140111131205,48,"M","3. some college","Black only","No","Yes",195,1,36.8,20140109,"6. $15,000 to $19,999",1
20140111131221,35,"F","3. some college","Black only","No","Yes",60,0,400,20140108,"4. $10,000 to $12,499",1
20140111131231,58,"M","5. bachelor's degree","White only","No","Yes",330,0,600,20140110,"15. $100,000 to $149,999",2
20140111131238,39,"F","2. high school diploma","Black only","No","No",195,2,350,20140103,"13. $60,000 to $74,999",4
20140111131259,32,"M","1. < high school diploma","White only","Yes","Yes",215,2,400,20140110,"7. $20,000 to $24,999",4
20140111131264,44,"F","4. associate degree","White only","No","Yes",72,3,88,20140106,"15. $100,000 to $149,999",5
20140111131281,36,"F","4. associate degree","White only","No","Yes",220,2,730.76,20140116,"8. $25,000 to $29,999",3
20140111131286,19,"M","2. high school diploma","Black only","No","Yes",752,1,NA,20140101,"15. $100,000 to $149,999",4
20140111131306,27,"F","2. high school diploma","White only","No","Yes",0,2,NA,20140103,"9. $30,000 to $34,999",4
20140111131318,68,"M","8. doctoral degree","Other","No","Yes",120,0,NA,20140103,"8. $25,000 to $29,999",2
20140111131328,52,"F","6. master's degree","White only","No","Yes",120,1,2884.61,20140107,"14. $75,000 to $99,999",2
20140111131349,17,"F","1. < high school diploma","White only","No","Yes",520,2,NA,20140102,"15. $100,000 to $149,999",5
20140111131383,69,"F","3. some college","White only","No","Yes",240,0,NA,20140104,"9. $30,000 to $34,999",1
20140111131416,25,"F","2. high school diploma","White only","No","Yes",432,2,NA,20140107,"4. $10,000 to $12,499",3
20140111131419,22,"F","3. some college","White only","No","Yes",456,0,192.3,20140125,"11. $40,000 to $49,999",2
20140111131425,15,"M","1. < high school diploma","White only","No","Yes",260,3,NA,20140107,"11. $40,000 to $49,999",5
20140111131429,30,"F","5. bachelor's degree","White only","No","Yes",75,1,NA,20140104,"15. $100,000 to $149,999",3
20140111131430,36,"F","7. professional degree","White only","No","Yes",135,2,400,20140112,"16. >= $150,000",4
20140111131457,39,"M","5. bachelor's degree","White only","No","Yes",370,0,2884.61,20140102,"16. >= $150,000",3
20140111131459,52,"F","3. some college","White only","No","Yes",75,1,760,20140106,"14. $75,000 to $99,999",3
20140111131460,18,"M","1. < high school diploma","Other","No","Yes",0,2,NA,20140114,"6. $15,000 to $19,999",5
20140111131474,36,"F","4. associate degree","White only","No","Yes",120,2,NA,20140118,"9. $30,000 to $34,999",4
20140111131515,59,"F","5. bachelor's degree","White only","No","No",315,0,NA,20140106,"13. $60,000 to $74,999",2
20140111131525,37,"F","5. bachelor's degree","White only","No","No",60,1,1576.92,20140109,"14. $75,000 to $99,999",2
20140111131531,33,"F","1. < high school diploma","Black only","No","Yes",355,1,547.2,20140122,"14. $75,000 to $99,999",4
20140111131552,59,"M","8. doctoral degree","White only","No","Yes",165,2,1769,20140121,"16. >= $150,000",4
20140111131571,56,"M","6. master's degree","Black only","No","Yes",260,0,2307.69,20140111,"16. >= $150,000",2
20140111131573,21,"M","3. some college","Asian only","No","Yes",579,0,NA,20140104,"12. $50,000 to $59,999",1
20140111131588,32,"M","1. < high school diploma","White only","No","Yes",272,1,NA,20140131,"8. $25,000 to $29,999",3
20140111131590,44,"M","5. bachelor's degree","Black only","No","Yes",160,2,576.92,20140112,"13. $60,000 to $74,999",4
20140111131601,24,"M","3. some college","White only","No","Yes",140,0,680,20140108,"15. $100,000 to $149,999",3
20140111131603,37,"M","2. high school diploma","White only","No","Yes",15,2,1280,20140102,"15. $100,000 to $149,999",4
20140111131646,71,"F","5. bachelor's degree","White only","No","No",455,0,NA,20140112,"12. $50,000 to $59,999",2
20140111131652,21,"F","3. some college","White only","No","Yes",220,4,36.25,20140127,"16. >= $150,000",8
20140111131680,17,"M","1. < high school diploma","White only","No","Yes",0,1,238.5,20140112,"14. $75,000 to $99,999",3
20140111131691,80,"M","3. some college","White only","No","Yes",815,0,NA,20140102,"7. $20,000 to $24,999",2
20140111131692,41,"F","5. bachelor's degree","Asian only","No","Yes",150,1,1442.3,20140123,"15. $100,000 to $149,999",3
20140111131708,60,"F","4. associate degree","White only","No","Yes",180,0,500,20140107,"11. $40,000 to $49,999",2
20140111131710,66,"M","6. master's degree","White only","No","No",423,0,961.53,20140104,"12. $50,000 to $59,999",1
20140111131719,23,"F","2. high school diploma","Other","No","Yes",215,0,300,20140104,"5. $12,500 to $14,999",1
20140111131778,48,"F","5. bachelor's degree","White only","No","Yes",120,2,217,20140107,"15. $100,000 to $149,999",4
20140111131811,71,"F","6. master's degree","White only","No","Yes",160,0,NA,20140118,"12. $50,000 to $59,999",2
20140111131844,28,"F","5. bachelor's degree","White only","No","Yes",230,1,NA,20140104,"11. $40,000 to $49,999",3
20140111131854,35,"F","8. doctoral degree","White only","Yes","Yes",30,1,1126.92,20140104,"14. $75,000 to $99,999",3
20140111131870,50,"M","2. high school diploma","White only","No","No",0,1,1100,20140109,"10. $35,000 to $39,999",4
20140111131921,24,"F","2. high school diploma","White only","No","No",240,0,NA,20140107,"1. < $5,000",1
20140111131927,49,"F","3. some college","White only","No","No",530,0,553.84,20140104,"12. $50,000 to $59,999",3
20140111131950,52,"F","2. high school diploma","White only","Yes","Yes",345,0,249,20140107,"9. $30,000 to $34,999",3
20140111131960,42,"F","5. bachelor's degree","White only","No","Yes",205,0,900,20140107,"13. $60,000 to $74,999",2
20140111131969,60,"F","6. master's degree","Black only","No","Yes",80,0,1000,20140118,"10. $35,000 to $39,999",2
20140111132011,47,"M","2. high school diploma","White only","Yes","Yes",600,1,NA,20140118,"3. $7,500 to $9,999",4
20140111132014,40,"M","5. bachelor's degree","White only","No","Yes",175,3,NA,20140114,"13. $60,000 to $74,999",5
20140111132042,43,"M","4. associate degree","White only","No","Yes",100,2,1923.07,20140107,"14. $75,000 to $99,999",4
20140111132047,60,"F","2. high school diploma","White only","Yes","Yes",240,0,807.69,20140110,"11. $40,000 to $49,999",2
20140111132054,43,"M","5. bachelor's degree","White only","No","Yes",585,2,NA,20140119,"16. >= $150,000",4
20140111132056,51,"F","7. professional degree","Black only","No","Yes",110,0,574.4,20140117,"11. $40,000 to $49,999",2
20140111132087,65,"F","2. high school diploma","Asian only","No","Yes",690,0,NA,20140111,"6. $15,000 to $19,999",3
20140111132088,32,"F","1. < high school diploma","White only","Yes","Yes",215,2,NA,20140113,"8. $25,000 to $29,999",5
20140111132091,19,"F","2. high school diploma","White only","Yes","Yes",120,2,NA,20140111,"9. $30,000 to $34,999",5
20140111132106,54,"F","2. high school diploma","White only","No","Yes",540,1,961.53,20140101,"14. $75,000 to $99,999",2
20140111132153,55,"F","2. high school diploma","White only","No","Yes",120,0,150,20140107,"15. $100,000 to $149,999",3
20140111132155,52,"F","5. bachelor's degree","Asian only","No","Yes",415,0,846.15,20140101,"13. $60,000 to $74,999",1
